ت	المواضيع	اللقاءات الفردية 	المحاضرات 	الندوات	المناسبات الصحية 
1	رعاية الأم والطفل:				
	فحص ما قبل الزواج				
	رعاية الحامل والزيارات الدورية				
	لقاح الحامل				
	تغذية الحامل				
	الحوامل المعرضات للخطورة				
	فحص ما بعد الولادة				
	تنظيم الأسرة				
	صحة المرأة فترة الأمان				
	سرطان الثدي				
	الرضاعة من الثدي				
	الأغذية التكميلية للأطفال				
	الأسهال عند الأطفال				
	الألتهابات التنفسية عند الأطفال 				
					
2	التحصين:				
	لقاح الأطفال				
	لقاح الأمهات في سن الأنجاب				
	اللقاحات الجديدة ضمن الجدول الروتيني				
	الحملات التلقيحية				
	اللقاحات الأخرى( الكبد-انفلونزا-تيفوئيد ..)				
					
3	الأمراض الانتقالية:				
	الكوليرا				
	الأنفلونزا الوبائية				
	التايفوئيد				
	التسمم الغذائي				
	الكبد الفيروسي				
	التدرن				
	الأيدز				
	الأمراض المنقولة جنسيا				
	الحمى النزفية				
	اللشمانيا وانواعها				
	البلهارزيا				
	الطفيليات المعوية				
	داء الكلب				

4	الأمراض غير الانتقالية:				
	أمراض الضغط والسكر				
	أمراض القلب والشرايين				
	هشاشة العظام				
	الغذاء الصحي				
	السمنة				
	استعمال الملح المدعم باليود				
	فقر الدم				
	فيتامين A 				
	النشاط البدني				
	الثلاسيميا				
					
5	الصحة النفسية:				
	اليافعين والشباب				
	التدخين				
	المخدرات				
	العنف الأسري				
					
6	الأسعافات والسلامة المهنية				
7	النظافة العامة والشخصية				
8	سوء استخدام الادوية 				
9	المقاومة الدوائية				
10	المناسبات الصحية				
11	أخرى				
	المجمـــــــــــــــــــــوع				

